감독,평균관객수,흥행지수1,흥행지수2
리처드 클라우스,"23,014",0.000738085,-0.382636461
김문흠,"22,900",0.000731609,-0.382723301
카와나미 에이사쿠,"22,767",0.000724054,-0.382824615
앤드류 헤이,"22,745",0.000722804,-0.382841374
최하나,"22,729",0.000721895,-0.382853562
칼 멘데스,"22,716",0.000721157,-0.382863465
올리비에 아사야스,"22,620",0.000715675,-0.382936975
윌리엄 올드로이드,"22,613",0.000715306,-0.382941926
아몰 굽트,"22,612",0.000715249,-0.382942688
아미르 칸,"22,612",0.000715249,-0.382942688
한종훈,"22,526",0.000710364,-0.383008199
에단 호크,"22,466",0.000706955,-0.383053905
테렌스 맬릭,"22,453",0.000706217,-0.383063808
보그다나 베라 로렌츠,"22,451",0.000706103,-0.383065331
홍은미,"22,412",0.000703888,-0.38309504
시미즈 준지,"22,407",0.000703604,-0.383098849
윤성준,"22,330",0.00069923,-0.383157504
크리스티앙 뱅상,"22,173",0.000690311,-0.3832771
김래경,"22,110",0.000686732,-0.383325091
샤나 페스트,"22,091",0.000685653,-0.383339564
야마무로 타다요시,"22,025",0.000681904,-0.38338984
노에미 르보브스키,"22,006",0.000680824,-0.383404314
존 어윈,"21,978",0.000679234,-0.383425643
앤드류 어윈,"21,978",0.000679234,-0.383425643
문은주,"21,974",0.000679006,-0.38342869
로랑 티라르,"21,873",0.000673241,-0.383506009
이서,"21,872",0.000673184,-0.38350677
당계례,"21,798",0.000669009,-0.38356276
나카노 료타,"21,797",0.000668952,-0.383563522
안톤 크링스,"21,732",0.000665259,-0.383613036
아르나드 부롱,"21,732",0.000665259,-0.383613036
가렛 에반스,"21,705",0.000663726,-0.383633603
윤단비,"21,692",0.000662987,-0.383643506
빌리 레이,"21,692",0.000662987,-0.383643506
김지연,"21,687",0.000662703,-0.383647315
막심 볼코브,"21,615",0.000658613,-0.383702162
표도르 본다르추크,"21,609",0.000658272,-0.383706732
미키 키팅,"21,603",0.000657931,-0.383711303
진광교,"21,599",0.000657704,-0.38371435
박대원,"21,506",0.000652421,-0.383785193
데이빗 크렌츠,"21,475",0.000650632,-0.383809189
코지마 마사유키,"21,424",0.000647763,-0.383847658
에란 크리비,"21,361",0.000644156,-0.383896029
티에리 라고베르트,"21,318",0.000641742,-0.383928404
자릴 레스페르,"21,280",0.000639583,-0.383957351
유위,"21,278",0.000639441,-0.383959255
롭 실베스트리,"21,274",0.000639214,-0.383962302
김의석,"21,243",0.000637481,-0.383985536
파벨 파블리코브스키,"21,139",0.000631545,-0.38406514
클림 시펜코,"21,071",0.00062771,-0.384116559
유지니오 미라,"20,961",0.000621462,-0.384200352
장-클리스토페 리에,"20,811",0.000612941,-0.384314616
레미 베잔송,"20,811",0.000612941,-0.384314616
"이수정,정일건","20,803",0.000612486,-0.38432071
김진열,"20,803",0.000612486,-0.38432071
박혁지,"20,736",0.00060868,-0.384371748
대니 스트롱,"20,631",0.000602716,-0.384451732
라파엘 리바스,"20,513",0.000596012,-0.38454162
이시하라 타츠야,"20,321",0.000585077,-0.384688259
퍼시 애들론,"20,195",0.000577948,-0.384783859
방형우,"20,175",0.000576812,-0.384799095
송정율,"20,113",0.00057329,-0.384846324
데이빗 크로넨버그,"20,094",0.000572182,-0.384861178
백승우,"20,085",0.000571699,-0.384867653
조나 힐,"20,069",0.00057079,-0.384879841
김진민,"20,063",0.00057045,-0.384884412
막심 고바레,"20,056",0.000570052,-0.384889744
노에미 사글리오,"20,056",0.000570052,-0.384889744
엘리자베스 이토,"19,986",0.000566075,-0.384943067
다카하타 이사오,"19,966",0.000564939,-0.384958302
제프리 프리드먼,"19,933",0.000563065,-0.38498344
롭 엡스타인,"19,933",0.000563065,-0.38498344
박사유,"19,919",0.000562269,-0.384994105
박돈사,"19,919",0.000562269,-0.384994105
나가사키 켄지,"19,917",0.000562156,-0.384995628
로만 폴란스키,"19,917",0.000562156,-0.384995628
우에다 신이치로,"19,846",0.000558123,-0.385049713
신보 아키유키,"19,666",0.000547883,-0.38518702
강성옥,"19,632",0.000545966,-0.38521273
데이비드 미쇼,"19,610",0.000544716,-0.385229488
이반 프숀킨,"19,508",0.000538922,-0.385307188
안드레이 콜핀,"19,508",0.000538922,-0.385307188
바시코 베도슈빌리,"19,508",0.000538922,-0.385307188
진재운,"19,484",0.000537559,-0.38532547
헨리 알렉스 루빈,"19,460",0.000536195,-0.385343752
선호빈,"19,459",0.000536138,-0.385344514
알렉산더 크람초프,"19,445",0.000535343,-0.385355179
바딤 소츠코프,"19,445",0.000535343,-0.385355179
다니엘르 톰슨,"19,426",0.000534264,-0.385369652
정희성,"19,405",0.000533071,-0.385385649
제임스 밴더빌트,"19,315",0.000527958,-0.385454207
키릴 세레브렌니코프,"19,221",0.000522619,-0.385525813
타마르 반 덴 도프,"19,142",0.000518131,-0.385585992
이성한,"18,851",0.0005016,-0.385807663
임유철,"18,804",0.00049893,-0.385843466
베다 도캄포 페이주,"18,799",0.000498646,-0.385847275
바란 보 오다르,"18,740",0.000495295,-0.385892219
신수원,"18,655",0.000490466,-0.385956968
줄리아 하트,"18,652",0.000490296,-0.385959254
오윤동,"18,564",0.000485268,-0.386026669
카키모토 코다이,"18,550",0.000484501,-0.386036953
지안밍 후앙,"18,509",0.000482172,-0.386068185
파블로 라라인,"18,436",0.000477997,-0.386124174
아드리안 부이텐후이스,"18,367",0.000474106,-0.386176355
데릭 머레이,"18,367",0.000474106,-0.386176355
마이클 무어,"18,342",0.000472686,-0.386195399
자비에 피카르,"18,254",0.000467687,-0.386262434
텐 샤오펑,"18,247",0.000467289,-0.386267766
말콤 D. 리,"18,241",0.000466948,-0.386272336
올리버 달리,"18,219",0.000465699,-0.386289095
루카스 퀴아오,"18,203",0.000464761,-0.386301664
후쿠다 유이치,"18,172",0.000463029,-0.386324898
알렉스 오렐,"18,169",0.000462858,-0.386327183
낸시 플로렌스 사바드,"18,157",0.000462177,-0.386336324
천정훈,"18,113",0.000459677,-0.386369842
김희정,"18,106",0.000459279,-0.386375174
존 말루프,"18,061",0.000456723,-0.386409453
찰리 시스켈,"18,061",0.000456723,-0.386409453
알레한드로 아메나바르,"18,057",0.000456496,-0.3864125
스콧 만,"18,042",0.000455644,-0.386423926
레오 리,"18,022",0.000454508,-0.386439162
크리스티앙 드 비타,"18,020",0.000454394,-0.386440685
도미니크 몽페리,"18,020",0.000454394,-0.386440685
아쉬가르 파라디,"17,982",0.000452235,-0.386469632
아라마키 신지,"17,977",0.000451951,-0.386473441
알버토 마르,"17,956",0.000450759,-0.386489438
변규리,"17,956",0.000450759,-0.386489438
닐스 아르덴 오플레브,"17,916",0.000448486,-0.386519908
이태겸,"17,741",0.000438545,-0.386653216
유키사다 이사오,"17,695",0.000435932,-0.386688257
마이크 화이트,"17,691",0.000435705,-0.386691304
알리 아바시,"17,676",0.000434853,-0.38670273
신준영,"17,672",0.000434626,-0.386705777
프란트 궈,"17,637",0.000432637,-0.386732439
김정식,"17,632",0.000432353,-0.386736248
조세래,"17,631",0.000432296,-0.386737009
패트리시아 리건,"17,625",0.000431956,-0.38674158
안톤 코르빈,"17,625",0.000431956,-0.38674158
카나사키 타카오미,"17,607",0.000430933,-0.386755292
자비에 보브와,"17,588",0.000429854,-0.386769765
조나단 베이커,"17,543",0.000427297,-0.386804044
조쉬 베이커,"17,543",0.000427297,-0.386804044
시멘 알스빅,"17,463",0.000422753,-0.386864985
게리 왕,"17,456",0.000422355,-0.386870317
전일우,"17,449",0.000421958,-0.38687565
임정하,"17,449",0.000421958,-0.38687565
박형준,"17,449",0.000421958,-0.38687565
김양래,"17,449",0.000421958,-0.38687565
김태식,"17,444",0.000421674,-0.386879458
제임스 콕스,"17,410",0.000419742,-0.386905358
조지 C. 울프,"17,372",0.000417584,-0.386934305
사울 딥,"17,324",0.000414857,-0.386970869
리스 오스볼,"17,305",0.000413778,-0.386985343
모토히로 카츠유키,"17,287",0.000412755,-0.386999055
안용훈,"17,190",0.000407245,-0.387072945
정인봉,"17,014",0.000397247,-0.387207015
크리스찬 하스,"16,955",0.000393895,-0.387251959
안드레아 블록,"16,955",0.000393895,-0.387251959
스탠리 투치,"16,933",0.000392646,-0.387268717
비자이,"16,875",0.000389351,-0.387312899
마르잔 사트라피,"16,776",0.000383708,-0.387388567
마커스 하먼,"16,685",0.000378558,-0.387457633
하시모토 히로유키,"16,655",0.000376853,-0.387480486
문소리,"16,646",0.000376342,-0.387487342
와드 알-카팁,"16,591",0.000373218,-0.387529239
에드워드 와츠,"16,591",0.000373218,-0.387529239
김진혁,"16,577",0.000372423,-0.387539903
스티븐 소머즈,"16,555",0.000371173,-0.387556662
이도 엔젤,"16,528",0.000369639,-0.38757723
리양우,"16,505",0.000368332,-0.38759475
이지승,"16,473",0.000366515,-0.387619126
카와이 하야토,"16,467",0.000366174,-0.387623697
올리비아 와일드,"16,380",0.000361232,-0.38768997
하마구치 류스케,"16,370",0.000360664,-0.387697588
앨리슨 쉐르닉,"16,345",0.000359243,-0.387716631
벤자민 레너,"16,340",0.000358959,-0.38772044
프랑수아 오종,"16,327",0.000358202,-0.387730597
강상우,"16,324",0.000358051,-0.387732628
리슬 타미,"16,312",0.000357369,-0.38774177
갈수영,"16,204",0.000351234,-0.387824039
하비에르 구티에레즈,"16,199",0.00035095,-0.387827848
야나기자와 테츠야,"16,187",0.000350268,-0.387836989
민병훈,"16,160",0.000348706,-0.387857938
대니 분,"16,146",0.000347939,-0.387868222
남연우,"16,137",0.000347428,-0.387875077
클레어 맥카시,"16,124",0.000346689,-0.38788498
킴블 렌달,"16,091",0.000344815,-0.387910118
랜달 라이트,"16,070",0.000343622,-0.387926115
에바 두버네이,"16,029",0.000341293,-0.387957347
마이클 앱티드,"15,986",0.00033885,-0.387990103
전후석,"15,982",0.000338623,-0.38799315
알렉상드르 아반치니,"15,974",0.000338168,-0.387999244
니잠 라작,"15,968",0.000337827,-0.388003815
크리스 버틀러,"15,953",0.000336975,-0.388015241
히로 타카시마,"15,942",0.00033635,-0.38802362
카와마타 히로시,"15,942",0.00033635,-0.38802362
조나단 드미,"15,867",0.00033209,-0.388080752
위성준,"15,846",0.000330897,-0.388096749
"정지훈,이승호","15,785",0.000327432,-0.388143217
박일호,"15,785",0.000327432,-0.388143217
알리체 로르와커,"15,762",0.000326125,-0.388160737
루벤 외스틀룬드,"15,720",0.000323739,-0.388192731
데이비드 스토튼,"15,675",0.000321164,-0.388227264
크리스티안 레브링,"15,671",0.000320956,-0.388230057
박혜령,"15,650",0.000319763,-0.388246054
피에트로 마르첼로,"15,593",0.000316525,-0.388289474
윌리엄 모나한,"15,539",0.000313458,-0.388330609
히라바야시 이사무,"15,518",0.000312276,-0.388346454
마이클 윈터바텀,"15,486",0.000310447,-0.388370982
헤이든 쉬로스버그,"15,431",0.000307322,-0.388412879
존 허위츠,"15,431",0.000307322,-0.388412879
소준문,"15,389",0.000304937,-0.388444873
정수이,"15,387",0.000304823,-0.388446397
백승환,"15,383",0.000304596,-0.388449444
야노 히로유키,"15,382",0.000304539,-0.388450205
나타우트 푼프리야,"15,319",0.00030096,-0.388498196
P.B. 셰므란,"15,289",0.000299256,-0.388521049
알랑 그스포너,"15,276",0.000298517,-0.388530952
변희선,"15,229",0.000295848,-0.388566755
김병기,"15,228",0.000295791,-0.388567516
팀 힐,"15,214",0.000294995,-0.388578181
와타나베 아유무,"15,211",0.000294825,-0.388580466
이와이 슌지,"15,176",0.000292818,-0.388607382
매트 화이트크로스,"15,074",0.000287043,-0.388684827
